A,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,1,,,,,,5,,,,4,,,,,
A,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
A,,,,,,,,,1,,3,,,,,,,,,,,3,,,3,,,,4,,,,,,,,,,,,2,,,,,,,,,2,,,
A,,3,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,4,4,,3,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
A,5,,3,,,,,,,,,,,,,,,,,,,1,,3,,5,,,,4,,,5,,,,,,,,,,,,3,,,,,,,,
A,,,,,,,,,,,,2,,,,,,2,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
A,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,1,
A,,,,,,,,,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,
A,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,5,,,,,1,,,,,,,,,,,,,5,,,,,,
A,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,1,,,,,,,,,,,
A,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,
A,,,,2,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,4,,,2,,,,,,,,,
A,,,4,,,,,,,4,,,,,,,,,,,,,,1,,1,,,,,,,4,,,,,,,2,,,,,,,2,,,4,,,
A,,,5,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,4,,2,,,5,,5,,,,1,,,,,1,,,
A,,,,,,,2,,,5,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,
A,,,,,,,1,,,,,,,,1,,,,5,,,,,,,3,,,,,,,,,,,,,,1,,,,1,,,,,,3,,3,
A,,,,,,5,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,
